ranking,url,title,region,time,director,actor,1 week culmulative income,all culmulative income,duration,type,rating
27,https://www.maoyan.com/films/899,当幸福来敲门,美国,2008/1/17,['加布里埃莱·穆奇诺'],"['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威', '詹姆斯·凯伦', '丹·卡斯泰兰尼塔', '柯特·富勒', '塔卡尤·费舍尔', '凯文·韦斯特', '乔治·张', '戴维·迈克尔·西尔弗曼', '多米尼克·博夫', '杰弗·卡伦', '乔伊芙·拉文', '斯科特·克拉斯', '拉希达·克伦迪宁', 'Eric Schniewind', 'Peter Fitzsimmons', 'Maurice Sherbanee', '维克托·莱德·维斯勒', '马克·克里斯托弗·劳伦斯', 'Darryl Fong', '乔治·马奎尔', '乔·努内斯', '亚当·德尔·里奥', 'Rocky LaRochelle', 'Reuben Grundy', 'Lo Ming', 'John Kovacevich', 'Bonnie Akimoto', 'Stu Klitsner', ""Tina D'Elia"", '大卫·芬恩', 'George Moffatt', '阿米尔·塔莱', 'Mike Garibaldi', 'Jason Frazier', '凯文·克鲁克', 'David Haines', 'James Finnerty', 'Abigail Van Alyn', 'Bob Greene', 'Robert Anthony Peters', 'Terri Orth-Pallavicini', 'John Robb', 'Daniel Wilder', 'Cathy Fithian', 'Keith Stevenson', 'Jeff Applebaum', 'Victor Hoagland', 'Richard Bischoff', 'Edward Donlin', 'Larry Hunt', 'Rose Aispuro', 'Arbin C. Kumar', '大卫·皮尔', 'Jerry Edward McLilly', 'Shareef Allman', 'Jeffrey Moon', 'Peaches Hutchinson', 'Brandon Deadwiler', 'Tateanna Wheeler-Lezine', 'Karen Kahn', 'Benjamin Fritz', 'David Hodges', 'Shawn Kresal', '多恩·安德鲁·西蒙斯', '莫莉·塞拉斯基', 'Kimberly Contreras', 'Ryan Else', 'Travis Fields', '克里斯·加德纳', '约翰·帕特里克·舒拉克', '艾丽莎·安德瑞格', 'Erin Cahill', 'Regina Antoinette', '扎克·布拉夫', 'Doug Campbell', '里克·坎普', 'Brad Carr', '詹姆斯·科纳', '亚历山大·库科尔', '扎卡里·卡伯森', 'Yeena Lopez', '加瑞特·法贝斯', 'Daryl Anthony Harper', 'David Kiiskinen', 'Tyler MacNiven', 'Steve Potts', ""Rob 'Captain Rob' Robinson"", '塞雷娜·锡德', '威廉·保罗·史密斯', '亚当·王', 'Cindy Warner', 'The Glide Ensemble', 'Martin Andris', '菲尔·奥斯汀', 'Stefano Capone', 'Zuhair Haddad', '伊斯特·斯高特', 'Steven Lindo', 'Elise Angell', 'Ben Fritz', '卡布兰·张伯伦', 'Bill Dietz', 'Brendan Kruse', '马克·拉维尔', 'Tommy Maples', 'Phil Talsky', '罗明', '戴维·阿伦·霍奇斯', '塞西尔·威廉斯', 'Rueben Grundy']",,981,117,"['剧情', '家庭', '传记']",9.3
28,https://www.maoyan.com/films/718,天堂电影院,意大利,2021/6/11,['朱塞佩·托纳多雷'],"['菲利浦·诺瓦雷', '雅克·贝汉', '马克·莱昂纳蒂', '萨瓦特利·卡西欧', '阿格妮丝·那诺', '塔诺·希玛罗萨', '尼古拉·迪·平托', '罗伯塔·蕾娜', '尼诺·戴罗佐', 'Nellina Laganà', 'Turi Giuffrida', '玛丽娜·朱迪切', 'Giorgio Libassi', '莱奥波多·特里耶斯泰', '比阿特丽斯·帕姆', 'Ignazio Pappalardo', 'Angela Leontini', 'Mimmo Mignemi', 'Margherita Mignemi', '布丽吉特·佛西', 'Giuseppe Pellegrino', 'Turi Killer', 'Angelo Tosto', 'Concetta Borpagano', 'Franco Catalano', '普佩拉·玛奇奥', '恩佐·卡拉瓦勒', '艾萨·丹尼埃利', '克莱利娅·龙迪内拉', 'Costantino Carrozza', '珍·亚历山大', '托尼·斯佩兰迪奥', 'Carmelo Di Mazzarelli', 'Tony Palazzo', '弗朗西斯科·斯夫拉美利', '保罗·诺托', '塞尔瓦托雷·比拉', 'Giorgio Guerrieri', '罗斯科·阿巴克尔', 'Antonio Arcidiacono', '茹涅·阿斯托尔', '伊格纳齐奥·巴尔萨莫', '碧姬·芭铎', '约翰·巴里摩尔', '伊萨·巴尔齐扎', '英格丽·褒曼', '维尔玛·班基', '克拉拉·卡拉马伊', 'Mario Castellani', 'Nicola Castorino', '查理·卓别林', '加里·库珀', '奥利维娅·德哈维兰', '维托里奥·德西卡', '柯克·道格拉斯', '埃罗尔·弗林', '让·迦本', '克拉克·盖博', '葛丽泰·嘉宝', '维托里奥·加斯曼', '马西莫·吉洛提', '法利·格兰杰', '加里·格兰特', '乔治亚·黑尔', '劳伦斯·哈维', '海伦·海丝', '路易·茹韦', '安娜·马尼亚尼', '西尔瓦娜·曼加诺', '马塞洛·马斯楚安尼', '阿梅德奥·纳扎里', '苏济·普里姆', '唐娜·里德', '简·拉塞尔', '罗莎琳德·拉塞尔', '伊冯娜·桑松', '玛丽亚·雪儿', '瑙玛·希拉', '西蒙·西涅莱', '阿尔伯托·索迪', '詹姆斯·斯图尔特', '托托', '斯宾塞·屈塞', '克莱尔·特雷弗', '鲁道夫·瓦伦蒂诺', '阿莉达·瓦莉', '约翰·韦恩', 'Bruno Torrisi', '弗朗西斯·古佐', 'Daniele Ferretti', '安东内洛·普利西', '文契尔特·纳瓦拉', 'Marzio Honorato', '安东内拉·阿蒂利', '里奥·故罗塔', 'Franco Scaldati', '朱塞佩·托纳多雷', 'Gaetano Cisco Cimarosa']",875,2000,124,"['剧情', '爱情']",9.3
29,https://www.maoyan.com/films/67214,熔炉,韩国,2011/9/22,['黄东赫'],"['孔刘', '郑有美', '金智英', '金贤秀', '郑仁絮', '白承焕', '张光', 'Jang Kwang', '金志映', 'Baek Seung-Hwan', 'Jeong In-seo', 'Hyeon-soo Kim', '朴慧真', '瑞雨', '金民尚', '林贤成', '金周灵', '严孝燮', '全国焕', '崔镇浩', '严智成', '许在浩', '张素妍', '李相熹', '金智怜', '张宥', '郑亨锡', '洪锡然', '朴惠珍', '郑裕美', '林贤圣', '南明烈', 'Park Hye-jin-i', 'Myeong-ryeol Nam', 'Kwon Yoo-Jin']",,,125,['剧情'],8.8
30,https://www.maoyan.com/films/1205,放牛班的春天,法国,2004/10/16,['克里斯托夫·巴拉蒂'],"['热拉尔·朱尼奥', '让-巴蒂斯特·莫尼耶', '玛丽·布奈尔', '凯德·麦拉德', '弗朗索瓦·贝莱昂', '雅克·贝汉', '让-保罗·博奈雷', '马科森斯·珀林', '格雷戈里·加迪诺尔', '托马斯·布伦门塔尔', '西里尔·伯尔尼科特', '西蒙·法戈特', 'Théodul Carré-Cassaigne', '菲利普·杜·詹纳兰德', '卡罗尔·韦斯', '埃里克·德斯玛莱茨', 'Paul Chariéras', 'Armen Godel', 'Monique Ditisheim', 'Steve Gadler', 'Fabrice Dubusset', 'Marielle Coubaillon', 'Violette Barratier', 'Lena Chalvon', 'Colette Dupanloup', '狄迪尔·弗拉蒙', 'Michel Caccia', 'Mathieu Basset', 'Loïc Bernicöt', 'Christophe Borie', 'Clément Bonnemoy', 'Dimitri Brand', 'Aurélien Bravard', 'Benjamin Charles', 'Niels Dalbignat', 'Gaetan Delaire', 'Louis Deval', 'Jordan Donatella', 'Quentin Donatella', 'Jérémy Duarte', 'Rémi Dubien', 'Aurélien Dussol', 'Patrice Dubrouillet', 'Jérémy Eberle', 'Mickaël Fournier', 'Benoît Fritisse', 'Nicolas Gomme', 'Florian Gontard', 'Bogdan Illouz', 'Giacomo Kahn', 'Marc-Antoine Madeyre', 'Kevin Monteiro', 'Denis Papon', 'Vincent Riqueur', 'Alexandre Resende', 'Anthony Ryat', 'Quentin Alibert', 'Rodrigo Avitt', 'Baptiste Beaumet', 'Yanis Benhamana', 'Vincent Reviron', 'Eloi Buisson', 'Jessy Chalmeton', 'Arthus Chambon', 'Antonin Delahaies', 'Alexandre Dosjoub', 'Mathieu Durif', 'Kevin Eytier', 'Gaël Fayet', 'Loïc Françon', 'Sylvain Fustier', 'Philippe Gaumme', 'Jordy Lapatrie', 'Gary Lemaouche', 'Thomas Levert', 'Jean-Baptiste Malaqui', ""Samuel L'Honnen"", 'Titouan Martin', 'Adrien Pinet', 'Pierre-Alban Vernet', 'Kevin Remont', 'Nicolas Pouyad', 'Maxime Brilland-Guijarro', '泰奥杜尔·卡雷-卡赛尼', '马科森斯·贝汉', '让-保罗·波奈尔']",,,96,"['剧情', '喜剧', '音乐']",8.8
31,https://www.maoyan.com/films/123,龙猫,日本,2018/12/14,['宫崎骏'],"['秦岚', '糸井重里', '岛本须美', '千叶繁', '中村大树', '大谷育江', '日高法子', '坂本千夏', '北林谷荣', '高木均', '丸山 裕子', '鹫尾真知子', '广濑正志', '西村朋纮', '铃木玲子', '雨笠利幸', '平松晶子', '鳕子', '神代知衣', '水谷优子', '龙田直树', '石田光子', '帕特·卡洛尔', '蒂姆·达利', '达科塔·范宁', '艾丽·范宁', '丽娅·萨隆加', '谢丽尔·蔡斯', 'Lara Cody', '弗兰克·维尔克', '娜塔莉·可儿', '肯尼斯·哈特曼', '亚历山德·肯沃西', '史蒂夫·克莱默', 'Aline Leslie', '丽莎·迈克尔逊', '阿什利 罗斯', '凯特琳·彼得森', '埃文•萨巴拉', '布瑞安·西尔多', '格莱格·斯奈哥夫', '保罗·布切', 'Yvonne Russo', '马特·阿德勒', '大卫 梅桑德', 'J·P·马诺克斯', '凯斯·索西', '露西·泰勒', '彼得·雷纳迪', 'Kimberly Guerrero', '扎恩·迈克拉农', '纽威尔·亚历山大', 'Kristin Klabunde', '罗伯特·克洛特沃西', '布里奇特·霍夫曼', 'Melanie MacQueen']",8963,17370,86,"['动画', '冒险', '奇幻', '家庭']",9.2
32,https://www.maoyan.com/films/458721,看不见的客人,西班牙,2017/9/15,['奥里奥尔·保罗'],"['马里奥·卡萨斯', '阿娜·瓦格纳', '何塞·科罗纳多', '芭芭拉·蓝妮', '弗兰塞斯克·奥雷利亚', '帕科·图斯', '大卫·塞尔瓦斯', '伊尼戈·加斯特西', '圣·耶拉莫斯', '马内尔·杜维索', '佩雷·布拉索', '霍尔迪·布鲁内特', '鲍比·冈萨雷斯', '玛蒂娜·乌尔塔多', '露丝·略皮斯', '布兰卡·马丁内斯', '安妮可·韦尔茨', '贝茜·特内兹', '克里斯蒂安·巴伦西亚', 'Jordi Llordella', 'Susana Molina', 'Helena Resano']",3261,17258,106,"['犯罪', '悬疑', '惊悚']",9.4
33,https://www.maoyan.com/films/1247,教父,美国,2015/4/18,['弗朗西斯·福特·科波拉'],"['马龙·白兰度', '阿尔·帕西诺', '詹姆斯·肯恩', '罗伯特·杜瓦尔', '黛安·基顿', '理查德·卡斯特尔诺', '约翰·凯泽尔', '艾尔·勒提埃里', '塔莉娅·夏尔', '阿历克斯·罗克', '索菲亚·科波拉', '乔·斯皮内尔', '斯特林·海登', '约翰·马利', '理查德·康特', '阿贝·维高达', '吉亚尼·罗素', '鲁迪·邦德', '阿尔·马蒂诺', '摩甘娜金', '兰尼·蒙大拿', '约翰马迪诺', 'Salvatore Corsitto', '理查德·詹姆斯·布莱特', '托尼·乔治', '维托·斯科蒂', 'Tere Livrano', '维克多伦蒂纳', 'Jeannie Linero', '朱莉·格雷格', 'Ardell Sheridan', '西蒙蕾妲·瑟法奈尼', '安杰洛·伊凡蒂', '柯拉朵加伊帕', '弗兰科·奇蒂', '萨罗·乌尔齐', '卡迈恩·科波拉', '吉安-卡洛·科波拉', 'Ron Gilbert', 'Anthony Gounaris', '乔·罗·格里普', '桑尼格鲁索', 'Randy Jurgensen', '托尼·利普', 'Frank Macetta', 'Lou Martini Jr', 'Father Joseph Medeglia', 'Rick Petrucelli', 'Burt Richards', 'Sal Richards', '汤姆·罗斯奎', '弗兰克·西维罗', 'Filomena Spagnuolo', 'Gabriele Torrei', '尼克·瓦莱隆加', 'Ed Vantura', 'Matthew Vlahakis', 'Max Brandt', 'Italia Coppola', 'Don Costello', '加里·弗雷德里克森', '路易斯·古斯', 'Peter Lemongello', 'Carol Morley', 'Nino Ruggeri', '罗曼·科波拉', 'Merril E. Joels', 'Norm Bacchiocchi', 'Tybee Brascia', '罗伯特·达赫达赫', 'Raymond Martino', '吉亚尼·卢索', '詹姆斯·凯恩']",,,175,"['剧情', '惊悚', '犯罪']",9.3
34,https://www.maoyan.com/films/341178,头号玩家,美国,2018/3/30,['史蒂文·斯皮尔伯格'],"['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '丽娜·维特', 'T·J·米勒', '西蒙·佩吉', '马克·里朗斯', '森崎温', '拉尔夫·尹爱森', '苏珊·林奇', '克莱尔·希金斯', '劳伦斯·斯佩尔曼', '佩蒂塔·维克斯', '莱蒂希娅·米歇尔·赖特', '赵家正', '汉娜·乔恩-卡门', '艾萨克·安德鲁斯', '基特·康纳', '杰登·奈特', '罗娜·莫里森', '丹尼尔·祖尔格哈德利', '阿隆索·阿尔瓦雷斯', '阿玛尼·杰克逊', '露露·威尔逊', '内特·莫汗', '朱莉娅·尼克森', '利蒂希娅·赖特', '雅各布·贝特兰德', '埃里克·西格蒙德森', '罗伯特·吉尔贝托', '迈克尔·怀德曼', '图尔洛夫·科维里', '麦肯娜·格瑞丝', '茱莉亚·尼克逊', '林恩·威尔默特', '大卫·巴雷亚', '丹尼尔·厄根', '曼迪·琼·特平', 'Daniel Tuite', '纳西尔·贾玛', 'Amy Clare Beales', '乔·赫斯特', '桑德拉·迪金森', 'Jane Leaney', '加绘·亚历山大', 'James Dryden', '布鲁斯·约翰逊', 'Paul Barnhill', 'Georgie Farmer', 'Jadah Marie', '悉尼·布朗', 'Vic Chao', '莎拉·沙曼', 'Joel MacCormack', '罗恩·阿德科鲁埃', '加雷斯·梅森', 'Gavin Marshall', 'Elliot Barnes-Worrell', 'Josh Jefferies', 'Khalil Madovi', '汤姆·特纳', '凯瑟琳·怀德', '大卫·福尔曼', 'Arianna Jaffier', 'Britain Dalton', '卡拉·皮阔', '卡拉·西奥博尔德']",39068,139668,140,"['动作', '冒险', '科幻']",9
35,https://www.maoyan.com/films/20394,被嫌弃的松子的一生,日本,2006/5/27,"['中岛哲也', '酒井圣博']","['中谷美纪', '永山瑛太', '伊势谷友介', '香川照之', '市川实日子', '黑泽明日香', '奥之矢佳奈', '柄本明', '荒川良良', '宫藤官九郎', '剧团一人', '武田真治', '谷原章介', '竹山隆范', '甲本雅裕', '片平渚', '角野卓造', '木村绿子', '滨田麻里', '本田博太郎', '渡边哲', '秋竹城', '木野花', '岛田久作', '榊英雄', '羽田昌义', '山下容莉枝', '山田花子', '江本纯子', '柴崎幸', '土屋安娜', '山本浩司', '佐藤佐吉', '木下邦家', '大久保佳代子', '阿井莉沙', '松下萌子', '苍井空', '江口德子', '田中要次', '广川淳', '谷中敦', '内山理名', '要润', '小池荣子', '铃木惠美', '羽贺研二', '滨田学', '茄子', '盐见三省', '根岸季衣', '渡边夏菜', '矢泽心', '本乡奏多', '北村一辉', '笹野高史', '温水洋一', '新井康弘', '萩原圣人', '铃木兰兰', '濑户早妃', '杉本哲太', '吹越满', '照屋年之', '儿岛雄一', '木村凯拉', '畠山明子', '浅田香织', '镰田小恵子', '星遥子', '三浦萌', '君岛萌', '菅原卓磨', '宫城孔明', '滨田真里', 'BONNIE PINK', 'Gori', 'Maiko Asano', 'Namihiko Ômura', '与座嘉秋', '古本新之辅', '翁华荣', '今井悠贵', '安达佑实', '萱野可芳', '爱衣', 'Kaoru Nagato', ""Shin'ichi Tokuhara"", 'Atsuo Nakata', 'Shôta Kotaki', 'Yûki Katô', 'Sayano Kataoka', 'Hitomi Hiraki', '岭豪一', '竹城明', 'Gô Narumi', '田村泰二郎', 'Donpei Dohira', '小松和重', 'Natsuki Kasa', '荒井圆', 'Aiko Chisaka', '富坚真', 'Rie Yasuma', 'Rie', 'Daisuke Hamada', 'Shûki Kawamata', 'Tomoaki Azuma', 'Osamu Tanpopo', '西胁彩华', '五十岚百合', 'Mayumi Yokoyama', 'Yuki Imamura', 'Hiromi Nakata', 'Takehito Terui']",,,130,"['剧情', '歌舞']",8.5
36,https://www.maoyan.com/films/1375,活着,中国大陆,1994/5/17,['张艺谋'],"['葛优', '巩俐', '牛犇', '郭涛', '姜武', '倪大红', '董飞', '黄宗洛', '刘燕瑾', '李连义', '赵玉秀', '张康', '苏岩', '张璐', '董立范', '朱蕾安', '肖聪', '杨同顺', '王丽华']",,,132,"['剧情', '家庭', '历史']",9
37,https://www.maoyan.com/films/342754,三块广告牌,美国,2018/3/2,['马丁·麦克唐纳'],"['弗兰西斯·麦克多蒙德', '伍迪·哈里森', '山姆·洛克威尔', '艾比·考尼什', '卢卡斯·赫奇斯', '彼特·丁拉基', '约翰·浩克斯', '卡莱伯·兰德里·琼斯', '凯瑟琳·纽顿', '凯瑞·康顿', '泽利科·伊万内克', '萨玛拉·维文', '克拉克·皮特斯', '尼克·西塞', '阿曼达·沃伦', '马拉特·巴沙罗夫', '布兰登·萨克斯顿', '迈克尔·艾伦·米利甘', '桑蒂·马丁', '克里斯托弗·贝瑞', '杰瑞温塞特', '马库斯·里尔·布朗', '劳伦斯·特纳', '西拉·阿特伍德', '里亚·梅·阿特伍德', '达里尔·哈达里·布里特-吉布森', 'Alejandro Barrios', 'Gregory Nassif St. John', 'Jason Ledford', '威廉J·哈里森', 'Eleanor T. Threatt']",1503,6499,115,"['剧情', '犯罪']",8.6
38,https://www.maoyan.com/films/409801,请以你的名字呼唤我,意大利,2017/1/22,['卢卡·瓜达尼诺'],"['提莫西·查拉梅', '艾米·汉莫', '迈克尔·斯图巴', '阿蜜拉·卡萨', '伊斯特·加瑞尔', '维克图瓦尔·杜·布瓦', '旺妲·卡布里奥罗', '安东尼奥·里莫尔迪', '埃琳娜·布奇', '马可·斯格罗索', '安德列‧艾席蒙', '彼得·斯皮尔斯']",,,132,"['爱情', '剧情']",8
39,https://www.maoyan.com/films/1204,死亡诗社,美国,1989/6/2,['彼得·威尔'],"['罗宾·威廉姆斯', '伊桑·霍克', '柯特伍德·史密斯', '梅洛拉·沃尔特斯', '杰米·肯尼迪', '迪伦·库斯曼', '维尔克·怀特', '乔尔·福格尔', 'James Donnell Quinn', 'James R. Stoddard', 'Newton Gilchrist', 'Robert Gleason', 'Nancy Kirk', 'Barry Godin', 'Andrew Hill', 'Sam Stegeman', 'Jason Woody', 'Chris Hull', 'Craig Johnson', '霍纳斯·斯蒂克洛瑞斯', 'Nicholas K. Gilhool', '凯瑟·斯内德', 'Robert J. Zigler III', 'Bill Rowe', 'Ashton W. Richards', 'Simon Mein', 'Hoover Sutton', 'Catherine Soles', 'James J. Christy', 'Richard Stites', '库尔特·莱特纳', 'Charles Lord', 'John Martin Bradley', '迪布拉·穆尼', '约翰·库宁汉姆', ""Christine D'Ercole"", 'Allison Hedges', '帕梅拉·伯勒尔', 'Alan Pottinger', 'Steve Mathios', 'Jane Moore', '凯文·库尼', '马特·凯里', '乔·奥菲耶里', '乔治·马丁', '利昂·波纳尔', '卡拉·贝尔韦尔', '诺曼·劳埃德', '詹姆斯·沃特斯顿', '阿勒隆·鲁杰罗', '盖尔·汉森', '亚历桑德拉·鲍尔斯', '科林·欧文', '拉腊·弗林·鲍尔', '乔西·查尔斯', '罗伯特·肖恩·莱纳德', '乔治·马丁', 'Kevin Cooney', 'John Cunningham']",,,128,['剧情'],8.7
40,https://www.maoyan.com/films/6289,闻香识女人,美国,1992/12/23,['马丁·布莱斯特'],"['阿尔·帕西诺', '克里斯·奥唐纳', '加布里埃尔·安瓦尔', '菲利普·塞默·霍夫曼', '布莱德利·惠特福德', '托德·路易斯', '朗·埃达德', '詹姆斯·瑞布霍恩', '理查德·文彻', 'Margaret Eginton', '汤姆·里斯·法雷尔', '尼古拉斯·萨德勒', '吉恩·坎菲尔德', '弗兰西丝·康罗伊', '朱恩·斯奎布', 'Sally Murphy', '安赫·道格', 'Leonard Gaines', '大卫·兰斯布里', 'Baxter Harris', 'Mansoor Najeeullah', 'Peter Carew', 'Michael Lisenco', 'Divina Cook', 'Russell Gibson', 'Jack Mulcahy', 'Michael Simon', 'Paul Stocker', 'J.T. Cromwell', 'William Beckwith', 'Francie Swift', 'Joseph Palmas', 'Max Stein', 'Julian Stein', 'Erika Feldman', 'Alyson Feldman', 'Michael Santoro', '马特·史密斯', '罗谢尔·奥利弗', '沈晓谦', '吴俊全', 'Dan Gifford', '沈晓谦', '吴俊全', 'Mike Lisenco']",,,157,['剧情'],8.8
41,https://www.maoyan.com/films/246286,疯狂动物城,美国,2016/3/4,"['拜伦·霍华德', '瑞奇·摩尔', '杰拉德·布什']","['金妮弗·古德温', '杰森·贝特曼', '伊德瑞斯·艾尔巴', '珍妮·斯蕾特', 'J·K·西蒙斯', '夏奇拉', '唐·雷克', '内特·托伦斯', '汤米·钟', '奥克塔维亚·斯宾瑟', '邦尼·亨特', '艾伦·图代克', '汤米 里斯特', '雷蒙德·S·珀斯', '莫里斯·拉马奇', '凯蒂·洛斯', '约翰·迪·马吉欧', '德拉·萨巴', '菲尔·约翰斯顿', '吉塔·雷迪', '乔舒华·达拉斯', '利亚·莱瑟姆', '瑞奇·摩尔', '凯斯·索西', '彼得·曼斯布里奇', '拜伦·霍华德', '杰拉德·布什', '乔西·特立尼达', '约翰·拉维尔', '克里斯汀·贝尔', 'Fuschia', '吉尔·科德斯', '特丽·道格拉斯', '梅利莎·古德温', 'Dave Kohut', 'Jeremy Milton', 'Evelyn Wilson Bresee', 'Hewitt Bush', 'Madeleine Curry', '男巫Zach', 'Pace Paulsen', 'Claire K. Smith', 'Jackson Stein', 'David A. Thibodeau', 'Hannah G. Williams', 'John Wheeler', 'Fabienne Rawley', 'Brad Simonsen', '季冠霖', '张震', '林兰', '凌云', '李楠', '任亚明', '王艺璇', '张明铭', '陈喆', '高增志', '李世荣', '藤新', '蔡依林', '林志玲', '王辰骅', '上户彩', '森川智之', '梁博尧', '林谷珍', '符爽', '李勇', '陈季霞', '陈宗岳', '龙显蕙', '王希华', '夏治世', '姜先诚', '孙中台', '刘小芸', '李英立', '高德宇', '容祖儿', '黄子华', '李建良', '高翰文', '刘玉翠', '雷蒙德·S·佩尔西', '杰西·科尔蒂', '马克·史密斯', 'Vassos Alexander', 'Ricardo Boechat', 'David Campbell', '芋洗坂系长', '汤米·利斯特', '乔希·达拉斯', '戴维德·迪格斯', '佟心竹', '尼古拉斯·格斯特']",15517,153190,109,"['动画', '动作', '冒险']",9.5
42,https://www.maoyan.com/films/488,机器人总动员,美国,2008/6/27,['安德鲁·斯坦顿'],"['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '弗莱德 威拉特', 'MacInTalk', '约翰·拉岑贝格', '凯茜·纳基麦', '西格妮·韦弗', '泰迪·牛顿', '鲍伯·伯根', '约翰·齐甘', '彼特·道格特', '保罗·伊丁', '唐纳德·富利洛夫', '特蕾莎·甘泽尔', '杰斯·哈梅尔', '雪莉·琳', '米凯·麦高万', '拉瑞恩·纽曼', '罗里·艾伦', '杰夫·皮金', '扬·拉布森', '洛丽·理查德森', '安德鲁·斯坦顿', '吉姆·瓦德', '克莱特·惠特克', 'Kim Kopf', '安格斯·麦克莱恩', '妮基·麦克尔罗伊', '加勒特·帕尔默', 'Kai Steel Smith', '草刈正雄', '赵增熹', '本·贝尔特', '艾丽莎·奈特', '佛莱德·乌伊拉特', '杰夫·格尔林']",,,98,"['喜剧', '科幻', '动画']",9.3
43,https://www.maoyan.com/films/248172,复仇者联盟4：终局之战,美国,2019/4/24,"['乔·罗素', '安东尼·罗素']","['小罗伯特·唐尼', '克里斯·埃文斯', '马克·鲁法洛', '克里斯·海姆斯沃斯', '斯嘉丽·约翰逊', '杰瑞米·雷纳', '唐·钱德尔', '保罗·路德', '布丽·拉尔森', '凯伦·吉兰', '泰莎·汤普森', '达娜·贾克赛·古瑞拉', '本尼迪特·王', '乔恩·费儒', '格温妮斯·帕特洛', '乔什·布洛林', '本尼迪克特·康伯巴奇', '佐伊·索尔达娜', '克里斯·帕拉特', '安东尼·麦凯', '伊丽莎白·奥尔森', '伊万杰琳•莉莉', '汤姆·赫兰德', '蕾妮·罗素', '约翰·斯拉特里', '查德维克·博斯曼', '塞巴斯蒂安·斯坦', '汤姆·希德勒斯顿', '戴夫·巴蒂斯塔', '利蒂希娅·赖特', '庞·克莱门捷夫', '范·迪塞尔', '蒂尔达·斯文顿', '弗兰克·格里罗', '塞缪尔·杰克逊', '娜塔莉·波特曼', '米歇尔·菲佛', '玛丽莎·托梅', '塔伊加·维迪提', '安吉拉·贝塞特', '迈克尔·道格拉斯', '威廉·赫特', '寇碧·史莫德斯', '肖恩·古恩', '琳达·卡德里尼', '马克斯米利亚诺·赫尔南德斯', '真田广之', '汤姆·沃恩-劳勒', '泰瑞·诺塔里', '詹姆斯·达西', '雅各·巴塔伦', '罗伯特·雷德福', '泰·辛普金斯', '温斯顿·杜克', '斯坦·李', 'Justin Slaughter', 'Brandon Rush', 'Jaylen Davis', '莱蒂希娅·米歇尔·赖特', '布莱德利·库珀', '凯瑞·康顿', '闻天', '伊薇特·尼科尔·布朗', 'Cameron Brumbelow', '蒂莫西·卡尔', '迈克尔·A·库克', '凯莉·库恩', '艾玛·福尔曼', '雷纳·加拉赫', 'Daniela Gaskie', '郑肯', '小弗洛伊德·安东尼·约翰', '罗斯·马昆德', '布伦特·麦吉', 'Michael Pierino Miller', '卡兰·穆尔韦', '吉米·雷·皮肯斯', '迈克尔·詹姆斯·肖', 'Greg Tiffan', '艾娃·罗素', '乔·罗素', '玛丽亚·Z·威尔逊', '本杰明·韦弗', 'Raul Alcantar', '雅各布·埃文斯', '何塞·阿尔弗雷多·费尔南德斯', '安东尼·B·哈里斯', 'Shaun McMillan', '布伦特·莫雷尔·加斯金斯', 'Robert Payen', '麦克斯威尔·海史密斯', '罗伯特·廷斯利', '费斯·洛根', 'Paul Pillsbury', '特拉维斯·汤普森', '亚历珊德拉‧瑞秋·拉贝', '贾迈尔·钱伯斯', 'Jennifer Cain', '杰克逊·艾顿', '布莱德利·库珀', '凯瑟琳·兰福德', '亚历山德拉·蕾切尔·拉贝', '海莉·阿特维尔', '凯瑞·康顿', '麦克斯米利安诺·贺南德兹', '莫妮卡·甘德顿', '基思·努斯鲍姆', 'Timothy Carr', 'Khalid Ghajji', 'Eric Wallace', 'Hyejin J', '史蒂文·艾萨尼', '罗伯特·普拉格', '布莱恩·谢弗', '艾米丽塔·T·冈萨雷斯', '凯德·伍德沃德', 'Taylor Patterson', '帕特里克·高曼', '艾米娜·卡普兰', '阿隆·拉扎尔', '迈克·卢茨', 'Olaniyan Thurmon', 'Russell Bobbitt', 'Lee Moore', '乔依·麦卡沃伊', '约翰·波西', 'Ben Sakamoto', 'John Michael Morris', '吉姆·斯特林', 'Hye Jin Jang', 'James Lin', '山姆·哈格雷夫', '汤姆·威斯多姆', 'Ameenah Kaplan']",223284,425013,181,"['动作', '冒险', '奇幻']",9.1
